VD;Motivo
934;Sem inventário correspondente
791;Sem inventário correspondente
1425;Sem inventário correspondente
1478;Sem inventário correspondente
1510;Sem inventário correspondente
1418;Sem inventário correspondente
1307;Sem inventário correspondente
1487;Sem inventário correspondente
1818;Sem inventário correspondente
1470;Sem inventário correspondente
1767;Sem inventário correspondente
1459;Sem inventário correspondente
1633;Sem inventário correspondente
1381;Sem inventário correspondente
1537;Sem inventário correspondente
1765;Sem inventário correspondente
1246;Sem inventário correspondente
1427;Sem inventário correspondente
1318;Sem inventário correspondente
1670;Sem inventário correspondente
1301;Sem inventário correspondente
1468;Sem inventário correspondente
1759;Sem inventário correspondente
1812;Sem inventário correspondente
1488;Sem inventário correspondente
1513;Sem inventário correspondente
1788;Sem inventário correspondente
1401;Sem inventário correspondente
1415;Sem inventário correspondente
1519;Sem inventário correspondente
1527;Sem inventário correspondente
1334;Sem inventário correspondente
1491;Sem inventário correspondente
1458;Sem inventário correspondente
1501;Sem inventário correspondente
1420;Sem inventário correspondente
1789;Sem inventário correspondente
1824;Sem inventário correspondente
1830;Sem inventário correspondente
1119;Sem inventário correspondente
1363;Sem inventário correspondente
1299;Sem inventário correspondente
1622;Sem inventário correspondente
1606;Sem inventário correspondente
1411;Sem inventário correspondente
1540;Sem inventário correspondente
2585;Sem inventário correspondente
2415;Sem inventário correspondente
561;Sem inventário correspondente
2468;Sem inventário correspondente
2546;Sem inventário correspondente
2511;Sem inventário correspondente
2076;Sem inventário correspondente
549;Sem inventário correspondente
2110;Sem inventário correspondente
548;Sem inventário correspondente
2084;Sem inventário correspondente
2070;Sem inventário correspondente
2448;Sem inventário correspondente
2069;Sem inventário correspondente
2141;Sem inventário correspondente
2516;Sem inventário correspondente
2083;Sem inventário correspondente
2545;Sem inventário correspondente
2537;Sem inventário correspondente
572;Sem inventário correspondente
2423;Sem inventário correspondente
2422;Sem inventário correspondente
562;Sem inventário correspondente
2512;Sem inventário correspondente
563;Sem inventário correspondente
2392;Sem inventário correspondente
2498;Sem inventário correspondente
2497;Sem inventário correspondente
2506;Sem inventário correspondente
536;Sem inventário correspondente
2071;Sem inventário correspondente
564;Sem inventário correspondente
2611;Sem inventário correspondente
2416;Sem inventário correspondente
2381;Sem inventário correspondente
2379;Sem inventário correspondente
2380;Sem inventário correspondente
2285;Sem inventário correspondente
2286;Sem inventário correspondente
2287;Sem inventário correspondente
2293;Sem inventário correspondente
2378;Sem inventário correspondente
2288;Sem inventário correspondente
2382;Sem inventário correspondente
2502;Sem inventário correspondente
2501;Sem inventário correspondente
2524;Sem inventário correspondente
2518;Sem inventário correspondente
2419;Sem inventário correspondente
2420;Sem inventário correspondente
2451;Sem inventário correspondente
2396;Sem inventário correspondente
2418;Sem inventário correspondente
2436;Sem inventário correspondente
2547;Sem inventário correspondente
1272;Sem inventário correspondente
1251;Sem inventário correspondente
1257;Sem inventário correspondente
1278;Sem inventário correspondente
1782;Sem inventário correspondente
1785;Sem inventário correspondente
1279;Sem inventário correspondente
1456;Sem inventário correspondente
1457;Sem inventário correspondente
1783;Sem inventário correspondente
1249;Sem inventário correspondente
1270;Sem inventário correspondente
1273;Sem inventário correspondente
1283;Sem inventário correspondente
1489;Sem inventário correspondente
1284;Sem inventário correspondente
1261;Sem inventário correspondente
1256;Sem inventário correspondente
1164;Sem inventário correspondente
1822;Sem inventário correspondente
1255;Sem inventário correspondente
1793;Sem inventário correspondente
1207;Sem inventário correspondente
1264;Sem inventário correspondente
1282;Sem inventário correspondente
1799;Sem inventário correspondente
1266;Sem inventário correspondente
1439;Sem inventário correspondente
1248;Sem inventário correspondente
1452;Sem inventário correspondente
1409;Sem inventário correspondente
1358;Sem inventário correspondente
1451;Sem inventário correspondente
1536;Sem inventário correspondente
1624;Sem inventário correspondente
1796;Sem inventário correspondente
1440;Sem inventário correspondente
1243;Sem inventário correspondente
1494;Sem inventário correspondente
1291;Sem inventário correspondente
1254;Sem inventário correspondente
1515;Sem inventário correspondente
1500;Sem inventário correspondente
1253;Sem inventário correspondente
1482;Sem inventário correspondente
1805;Sem inventário correspondente
1521;Sem inventário correspondente
1267;Sem inventário correspondente
1295;Sem inventário correspondente
1538;Sem inventário correspondente
1770;Sem inventário correspondente
1563;Sem inventário correspondente
1533;Sem inventário correspondente
1471;Sem inventário correspondente
1814;Sem inventário correspondente
1483;Sem inventário correspondente
1786;Sem inventário correspondente
1413;Sem inventário correspondente
1810;Sem inventário correspondente
1632;Sem inventário correspondente
321;Sem inventário correspondente
316;Sem inventário correspondente
1756;Sem inventário correspondente
1862;Sem inventário correspondente
820;Sem inventário correspondente
1776;Sem inventário correspondente
889;Sem inventário correspondente
595;Sem inventário correspondente
553;Sem inventário correspondente
242;Sem inventário correspondente
946;Sem inventário correspondente
988;Sem inventário correspondente
382;Sem inventário correspondente
987;Sem inventário correspondente
1798;Sem inventário correspondente
531;Sem inventário correspondente
1745;Sem inventário correspondente
1660;Sem inventário correspondente
2194;Sem inventário correspondente
2195;Sem inventário correspondente
2193;Sem inventário correspondente
2240;Sem inventário correspondente
2257;Sem inventário correspondente
2210;Sem inventário correspondente
2209;Sem inventário correspondente
1631;Sem inventário correspondente
2269;Sem inventário correspondente
2234;Sem inventário correspondente
2273;Sem inventário correspondente
1281;Sem inventário correspondente
1280;Sem inventário correspondente
1163;Sem inventário correspondente
1469;Sem inventário correspondente
1275;Sem inventário correspondente
1012;Sem inventário correspondente
1531;Sem inventário correspondente
1289;Sem inventário correspondente
1323;Sem inventário correspondente
1222;Sem inventário correspondente
1412;Sem inventário correspondente
1154;Sem inventário correspondente
1205;Sem inventário correspondente
1231;Sem inventário correspondente
1480;Sem inventário correspondente
1293;Sem inventário correspondente
1151;Sem inventário correspondente
1162;Sem inventário correspondente
1165;Sem inventário correspondente
1190;Sem inventário correspondente
1206;Sem inventário correspondente
1210;Sem inventário correspondente
1215;Sem inventário correspondente
1566;Sem inventário correspondente
1159;Sem inventário correspondente
1160;Sem inventário correspondente
1762;Sem inventário correspondente
1209;Sem inventário correspondente
1259;Sem inventário correspondente
2527;Sem inventário correspondente
863;Sem inventário correspondente
2412;Sem inventário correspondente
2295;Sem inventário correspondente
825;Sem inventário correspondente
862;Sem inventário correspondente
2290;Sem inventário correspondente
2376;Sem inventário correspondente
2292;Sem inventário correspondente
992;Sem inventário correspondente
2437;Sem inventário correspondente
2291;Sem inventário correspondente
434;Sem inventário correspondente
712;Sem inventário correspondente
568;Sem inventário correspondente
890;Sem inventário correspondente
913;Sem inventário correspondente
2169;Sem inventário correspondente
395;Sem inventário correspondente
2161;Sem inventário correspondente
604;Sem inventário correspondente
397;Sem inventário correspondente
220;Sem inventário correspondente
432;Sem inventário correspondente
2056;Sem inventário correspondente
2064;Sem inventário correspondente
2243;Sem inventário correspondente
2091;Sem inventário correspondente
2092;Sem inventário correspondente
2093;Sem inventário correspondente
2283;Sem inventário correspondente
2531;Sem inventário correspondente
393;Sem inventário correspondente
926;Sem inventário correspondente
845;Sem inventário correspondente
552;Sem inventário correspondente
620;Sem inventário correspondente
630;Sem inventário correspondente
390;Sem inventário correspondente
2116;Sem inventário correspondente
2127;Sem inventário correspondente
2211;Sem inventário correspondente
2077;Sem inventário correspondente
435;Sem inventário correspondente
643;Sem inventário correspondente
834;Sem inventário correspondente
2662;Sem inventário correspondente
2280;Sem inventário correspondente
550;Sem inventário correspondente
2123;Sem inventário correspondente
2119;Sem inventário correspondente
697;Sem inventário correspondente
547;Sem inventário correspondente
458;Sem inventário correspondente
546;Sem inventário correspondente
530;Sem inventário correspondente
2173;Sem inventário correspondente
737;Sem inventário correspondente
744;Sem inventário correspondente
2174;Sem inventário correspondente
558;Sem inventário correspondente
936;Sem inventário correspondente
2003;Sem inventário correspondente
2363;Sem inventário correspondente
929;Sem inventário correspondente
923;Sem inventário correspondente
970;Sem inventário correspondente
2277;Sem inventário correspondente
713;Sem inventário correspondente
2191;Sem inventário correspondente
544;Sem inventário correspondente
2052;Sem inventário correspondente
398;Sem inventário correspondente
399;Sem inventário correspondente
2221;Sem inventário correspondente
2088;Sem inventário correspondente
2538;Sem inventário correspondente
821;Sem inventário correspondente
2204;Sem inventário correspondente
981;Sem inventário correspondente
2617;Sem inventário correspondente
2534;Sem inventário correspondente
2493;Sem inventário correspondente
2576;Sem inventário correspondente
772;Sem inventário correspondente
755;Sem inventário correspondente
690;Sem inventário correspondente
770;Sem inventário correspondente
2375;Sem inventário correspondente
2383;Sem inventário correspondente
2453;Sem inventário correspondente
2371;Sem inventário correspondente
2508;Sem inventário correspondente
2074;Sem inventário correspondente
695;Sem inventário correspondente
2589;Sem inventário correspondente
2449;Sem inventário correspondente
2438;Sem inventário correspondente
2368;Sem inventário correspondente
767;Sem inventário correspondente
2386;Sem inventário correspondente
2421;Sem inventário correspondente
794;Sem inventário correspondente
